City,Time,Temperature,Condition

Brasília,2023-03-15 21:00:00, 21.89, light rain
Brasília,2023-03-16 00:00:00, 20.25, light rain
Brasília,2023-03-16 03:00:00, 18.76, light rain
Brasília,2023-03-16 06:00:00, 17.37, light rain
Brasília,2023-03-16 09:00:00, 18.24, light rain
Brasília,2023-03-16 12:00:00, 19.01, light rain
Brasília,2023-03-16 15:00:00, 23.22, light rain
Brasília,2023-03-16 18:00:00, 22.56, light rain
Brasília,2023-03-16 21:00:00, 20.23, moderate rain
Brasília,2023-03-17 00:00:00, 19.07, light rain
Brasília,2023-03-17 03:00:00, 18.11, light rain
Brasília,2023-03-17 06:00:00, 17.97, light rain
Brasília,2023-03-17 09:00:00, 17.67, light rain
Brasília,2023-03-17 12:00:00, 19.12, overcast clouds
Brasília,2023-03-17 15:00:00, 24.06, light rain
Brasília,2023-03-17 18:00:00, 23.89, light rain
Brasília,2023-03-17 21:00:00, 20.01, moderate rain
Brasília,2023-03-18 00:00:00, 18.45, moderate rain
Brasília,2023-03-18 03:00:00, 18.19, light rain
Brasília,2023-03-18 06:00:00, 18.02, light rain
Brasília,2023-03-18 09:00:00, 17.75, light rain
Brasília,2023-03-18 12:00:00, 19.2, light rain
Brasília,2023-03-18 15:00:00, 22.82, light rain
Brasília,2023-03-18 18:00:00, 21.98, light rain
Brasília,2023-03-18 21:00:00, 18.89, moderate rain
Brasília,2023-03-19 00:00:00, 17.6, moderate rain
Brasília,2023-03-19 03:00:00, 17.28, moderate rain
Brasília,2023-03-19 06:00:00, 16.35, light rain
Brasília,2023-03-19 09:00:00, 15.99, moderate rain
Brasília,2023-03-19 12:00:00, 16.98, light rain
Brasília,2023-03-19 15:00:00, 18.47, light rain
Brasília,2023-03-19 18:00:00, 21.2, light rain
Brasília,2023-03-19 21:00:00, 19.54, light rain
Brasília,2023-03-20 00:00:00, 17.87, light rain
Brasília,2023-03-20 03:00:00, 17.54, light rain
Brasília,2023-03-20 06:00:00, 16.98, light rain
Brasília,2023-03-20 09:00:00, 16.35, light rain
Brasília,2023-03-20 12:00:00, 16.65, light rain
Brasília,2023-03-20 15:00:00, 18.01, light rain
Brasília,2023-03-20 18:00:00, 19.93, light rain
